feature_name,total_rows,missing_rows,missing_rate,min,max,mean
group__emission_lab__P__sum_primary__15min__rolling_std__6h,140256,1,7e-06,825.7905729040015,338561.6910245918,73156.3831627205
group__emission_lab__P__sum_primary__15min__rolling_mean__24h,140256,0,0.0,-247732.69648262384,623845.2875696397,125778.30107495518
group__emission_lab__P__sum_primary__15min__rolling_std__24h,140256,1,7e-06,866.0627044626635,296161.4594441029,107115.03636460753
group__emission_lab__P__sum_primary__15min__lag_1tick,140256,1,7e-06,-374129.38276869635,1129257.9519866582,125814.85219137116
group__emission_lab__P__sum_primary__15min__lag_4tick,140256,4,2.9e-05,-374129.38276869635,1129257.9519866582,125819.38307649526
group__emission_lab__P__sum_primary__15min__lag_96tick,140256,96,0.000684,-374129.38276869635,1129257.9519866582,125966.97538430268
group__emission_lab__P__sum_primary__15min__diff_1tick,140256,1,7e-06,-749468.1996809719,717905.9463146222,1.110094022188045
group__pv__P__sum_primary__15min,140256,52216,0.372291,-610702.163353618,20.960891379866876,-51822.04160500981
group__pv__P__sum_primary__15min__rolling_mean__1h,140256,52216,0.372291,-569598.3399768829,20.449076803549485,-51822.04163468174
group__pv__P__sum_primary__15min__rolling_std__1h,140256,52217,0.372298,0.0019009291384762504,236294.19691952728,10103.038055106139
group__pv__P__sum_primary__15min__rolling_mean__6h,140256,52216,0.372291,-513287.341583577,17.731694732366446,-51822.04186136095
group__pv__P__sum_primary__15min__rolling_std__6h,140256,52217,0.372298,0.02987676689045421,217945.0712998073,30180.114527549886
group__pv__P__sum_primary__15min__rolling_mean__24h,140256,52216,0.372291,-208498.42567939774,-4.668877822230763,-51819.29423698002
group__pv__P__sum_primary__15min__rolling_std__24h,140256,52217,0.372298,0.02987676689045421,218155.18935079686,66902.47737043012
group__pv__P__sum_primary__15min__lag_1tick,140256,52217,0.372298,-610702.163353618,20.960891379866876,-51822.63017977817
group__pv__P__sum_primary__15min__lag_4tick,140256,52220,0.372319,-610702.163353618,20.960891379866876,-51824.396003380796
group__pv__P__sum_primary__15min__lag_96tick,140256,52312,0.372975,-610702.163353618,20.960891379866876,-51858.3491197726
group__pv__P__sum_primary__15min__diff_1tick,140256,52217,0.372298,-437421.75401455216,412794.3368541012,1.845000496197929e-05
group__chp__P__sum_primary__15min,140256,0,0.0,-276685.2570566838,23828.158666666663,-65514.452064084864
group__chp__P__sum_primary__15min__rolling_mean__1h,140256,0,0.0,-272932.90255668364,21529.427833333513,-65515.381081784544
group__chp__P__sum_primary__15min__rolling_std__1h,140256,1,7e-06,0.0,140570.40161906986,12751.797815182845
group__chp__P__sum_primary__15min__rolling_mean__6h,140256,0,0.0,-212706.93042331116,4342.554805555549,-65519.15854789335
group__chp__P__sum_primary__15min__rolling_std__6h,140256,1,7e-06,0.012251880839871504,112700.3831923087,22992.299602663057
group__chp__P__sum_primary__15min__rolling_mean__24h,140256,0,0.0,-189274.97,1142.1269164959015,-65536.67060023153
group__chp__P__sum_primary__15min__rolling_std__24h,140256,1,7e-06,0.39269728267204557,91999.84310292687,33307.995651717596
group__chp__P__sum_primary__15min__lag_1tick,140256,1,7e-06,-276685.2570566838,23828.158666666663,-65514.228165334236
group__chp__P__sum_primary__15min__lag_4tick,140256,4,2.9e-05,-276685.2570566838,23828.158666666663,-65513.59594594222
group__chp__P__sum_primary__15min__lag_96tick,140256,96,0.000684,-276685.2570566838,23828.158666666663,-65490.44897045485
group__chp__P__sum_primary__15min__diff_1tick,140256,1,7e-06,-198060.13300000003,192522.3588767197,0.6584977267595862
weather__station__Ta__mean__15min,140256,4472,0.031885,-10.905359237458969,39.51729246775321,12.168336218684491
weather__station__Ta__rolling_mean__4tick,140256,4409,0.031435,-10.867385637747077,39.407283772362604,12.168558653439288
weather__station__Igm__mean__15min,140256,4472,0.031885,0.0,1046.6897806803393,133.45038511231175
weather__station__Igm__rolling_mean__4tick,140256,4409,0.031435,0.0,990.3561360812721,133.50922327129902
weather__station__Ah__mean__15min,140256,4472,0.031885,1.341494225131142,22.34849948035342,9.15994818266873
weather__station__Ah__rolling_mean__4tick,140256,4409,0.031435,1.3508587055736085,22.018813890880956,9.159791945000023
hour,140256,0,0.0,0,23,11.5
day_of_week,140256,0,0.0,0,6,2.9965776865160847
month,140256,0,0.0,1,12,6.522929500342231
is_weekend,140256,0,0.0,False,True,0.28473648186173856
season,140256,0,0.0,,,
sin_hour,140256,0,0.0,-1.0,1.0,4.432786431882327e-18
cos_hour,140256,0,0.0,-1.0,1.0,-6.076716942906116e-17
sin_dow,140256,0,0.0,-0.9749279121818236,0.9749279121818236,0.001202436272860942
cos_dow,140256,0,0.0,-0.9009688679024191,1.0,-0.0002744482326505667
