device_id,n_windows,ensemble_rmse,persistence_rmse,improvement_pct,ensemble_mape,persistence_mape,mae_정상,persistence_mae_정상,n_정상,mae_주의,persistence_mae_주의,n_주의,mae_경고,persistence_mae_경고,n_경고
267,188,88.15307592083305,103.01409373853623,14.42619866697315,0.36280836129694183,0.41328078396809553,,,,71.8702647871944,81.74561403508773,57.0,,,
268,188,1193.9221874280329,1708.8175077143412,30.131673976995682,69.94422873041829,78.69984323567357,,,,,,,1036.2482333047526,1321.578947368421,57.0
269,135,1149.8079084650585,1410.1640516049983,18.46282656571849,6.563690472690105,7.791554700066862,971.1327419463838,1138.7865853658536,41.0,,,,,,
270,188,1143.8589619785992,1517.6047313493837,24.627346083618697,96.34921831359424,87.52605017979732,2985.7546270923553,3062.1875,1.0,,,,299.12490384831574,328.1484375,56.0
283,92,23646.116985510835,96.81081975393336,-24325.07670693503,277.4237433618999,0.7320618902560603,,,,22778.578271325874,60.63392857142857,28.0,,,
286,380,24070.65772401828,17760.67617647521,-35.5278227295249,60.09127544885548,19.489362430348784,22981.866783851783,9102.877192982456,114.0,,,,,,
289,188,4669.193646771497,5880.6423154693775,20.600618158854743,67.9423095572575,100.48103959646781,,,,,,,3420.0760629162432,4106.946271929824,57.0
296,188,35006.99758931256,28178.830079544892,-24.23155074391913,506.6436793936521,127.4086922483618,58235.37176334184,36957.07142857143,7.0,22801.54324218025,19462.416666666668,9.0,22251.33849697995,13193.457317073171,41.0
297,188,28707.467064492237,23516.724601865797,-22.072557086519655,136.025085495145,56.823430969116686,49297.500021795044,24233.75,8.0,19315.802699744625,26798.083333333332,6.0,17407.110837779102,10392.17441860465,43.0
298,188,41916.3876238613,26457.77801102545,-58.42746736477251,48.82944691515893,24.707700049652704,51609.18690782927,17731.07894736842,19.0,16358.25364980559,10892.75925925926,27.0,39864.7861532344,28418.863636363636,11.0
299,188,29842.999261868,24843.33229866224,-20.12478399878337,34.28828665218946,18.7205901608189,28700.706703163247,12434.870967741936,31.0,18309.392601602103,16044.527777777777,18.0,30724.933780615567,19389.625,8.0
300,188,28328.471687480698,29398.716182510838,3.6404463663852886,39.61594391646961,27.066571892223486,22606.25176286192,13596.56,25.0,11852.353526085793,17023.23076923077,13.0,30275.274807691458,22597.82894736842,19.0
301,188,21751.258700480135,17928.440881420684,-21.32264508857016,22.732003087548744,15.180896976082787,22122.229442159376,7831.25,30.0,11805.281726066773,15016.666666666666,15.0,13934.505551671255,12185.083333333334,12.0
321,92,4597.87263233623,6872.8830890214585,33.101253538260586,26.368984380171156,32.36014425855898,3816.5542935408484,4100.915,25.0,5009.325204296751,4846.791666666667,3.0,,,
334,92,2024.6709442187037,2716.151482336727,25.458099175055477,5.365964883987159,8.074621797692389,1187.929096730559,1860.482142857143,28.0,,,,,,
348,92,707.8335889708713,948.711805178851,25.390030448980166,2.9447286838730884,2.5046869172514508,,,,512.540745059919,444.9107142857143,28.0,,,
366,92,103.07932879784295,129.81429687868416,20.59477940694463,10.266960020999443,11.428507053627122,68.87611617430431,81.5952380952381,21.0,74.74031220370594,58.703125,4.0,70.57244640099815,105.95833333333333,3.0
467,188,2316.477917389822,1195.8650256360347,-93.70730540077264,38.99615158106392,23.558454813954555,987.5068307346061,1042.2630208333333,24.0,,,,2801.366793126,236.58522727272728,33.0
479,92,206.63304300851405,263.2272313702012,21.500126741102033,40.865605766996474,31.49130268145169,,,,271.79168168082845,196.3125,8.0,117.6833639922592,93.790625,20.0
480,92,1582.0762472816346,1399.7782905999154,-13.023345047278173,42.148010991005066,0.771594949034569,1955.589385465379,353.84659090909093,11.0,,,,578.6187181800078,482.1470588235294,17.0
481,92,57.41759018743086,0.0,-inf,,,,,,,,,48.60799391003343,0.0,28.0
482,92,185.37970393424746,0.0,-inf,,,,,,,,,152.67017917632708,0.0,28.0
485,92,9274.32126704968,10135.750942892158,8.498923076307127,139.66740097959436,123.81192248529457,,,,,,,8051.543967521482,6691.638392857143,28.0
52,188,274.75975794454666,277.97646487055306,1.1571867882787625,3.8753312124817514,3.866233705962889,223.4186060171696,220.44078947368422,57.0,,,,,,
56,188,10.805647030399186,9.132597173879448,-18.31954070310801,0.9662205863404971,0.753137618496341,,,,9.048641554376594,7.06469298245614,57.0,,,
82,188,2579.1637435482253,2389.965848986168,-7.91634301562575,59.75227650133505,50.95766934339455,,,,2783.619991151303,1814.659375,20.0,1717.5510381986287,1525.3023648648648,37.0
86,188,1538.6310565451665,0.0,-inf,,,,,,,,,992.1651764121477,0.0,57.0
87,188,1389.1374637478277,0.0,-inf,,,,,,,,,938.5257582757997,0.0,57.0
