meter_urn,meter_type,energy_type,thermal_mode,anomaly_target,group_name,redundant_pair,description,total,danger,warning,danger_pct,warning_pct,error,start_ts,end_ts,row_count,warning_count,danger_count
H1.Z24,electric,consumption,,P,cooling_central,,CM3-1,52583.0,0.0,267.0,0.0,0.51,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,267.0,0.0
H1.Z25,electric,consumption,,P,cooling_central,,CM3-2,52583.0,0.0,195.0,0.0,0.37,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,195.0,0.0
H3.Z45,electric,consumption,,P,cooling_local,,Design Studio 로컬 냉각기,51842.0,0.0,272.0,0.0,0.52,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51842.0,272.0,0.0
H2.Z66,electric,consumption,,P,cooling_local,H2.ZE66,Workshop 로컬 냉각기1 메인,52585.0,0.0,129.0,0.0,0.25,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,129.0,0.0
H2.ZE66,electric,consumption,,P,cooling_local,H2.Z66,Workshop 로컬 냉각기1 redundant,15543.0,0.0,38.0,0.0,0.24,,2022-03-24 08:00:00+00:00,2023-12-31 22:00:00+00:00,15543.0,38.0,0.0
H2.Z67,electric,consumption,,P,cooling_local,H2.ZE67,Workshop 로컬 냉각기2 메인,52585.0,0.0,84.0,0.0,0.16,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,84.0,0.0
H2.ZE67,electric,consumption,,P,cooling_local,H2.Z67,Workshop 로컬 냉각기2 redundant,14834.0,0.0,34.0,0.0,0.23,,2022-03-22 14:00:00+00:00,2023-12-31 22:00:00+00:00,14834.0,34.0,0.0
V.K21,thermal,neutral,cooling,Tdiff,cooling_thermal,,중앙 냉수 공급 메인,52583.0,40.0,246.0,0.08,0.47,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,246.0,40.0
H1.K11,thermal,neutral,cooling,Tdiff,cooling_thermal,,HVAC 3&5,52583.0,6.0,391.0,0.01,0.74,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,391.0,6.0
H1.K12,thermal,neutral,cooling,Tdiff,cooling_thermal,,HVAC 2,52583.0,0.0,128.0,0.0,0.24,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,128.0,0.0
H1.K14,thermal,neutral,cooling,Tdiff,cooling_thermal,,Office&Reception,52583.0,7.0,373.0,0.01,0.71,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,373.0,7.0
H1.K15,thermal,neutral,cooling,Tdiff,cooling_thermal,,HVAC 3,52583.0,5.0,201.0,0.01,0.38,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,201.0,5.0
H1.K16,thermal,neutral,cooling,Tdiff,cooling_thermal,,Server O1,44677.0,21.0,435.0,0.05,0.97,,2018-11-26 10:00:00+00:00,2023-12-31 22:00:00+00:00,44677.0,435.0,21.0
H2.K21,thermal,neutral,cooling,Tdiff,cooling_thermal,,Office 냉방,52583.0,45.0,406.0,0.09,0.77,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,406.0,45.0
H1.W11,thermal,neutral,heating,Tdiff,heating_thermal,,총 난방,52583.0,42.0,360.0,0.08,0.68,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,360.0,42.0
H1.W12,thermal,neutral,heating,Tdiff,heating_thermal,,CHP 열,52583.0,1.0,211.0,0.0,0.4,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,211.0,1.0
WeatherStation.Weather,weather,neutral,,,weather,,기상관측소,,,,,,,,,,,
V.Z81,electric,consumption,,P,transformer,,Transformer,44170.0,0.0,491.0,0.0,1.11,,2018-01-03 05:00:00+00:00,2023-12-21 13:00:00+00:00,44170.0,491.0,0.0
V.Z82,electric,consumption,,P,transformer,,Transformer,47937.0,0.0,505.0,0.0,1.05,,2018-01-01 00:00:00+00:00,2023-12-21 15:00:00+00:00,47937.0,505.0,0.0
H2.Z35,electric,consumption,,P,transformer,H2.Z351,Transformer,23576.0,0.0,16.0,0.0,0.07,,2018-01-01 00:00:00+00:00,2020-09-09 07:00:00+00:00,23576.0,16.0,0.0
H2.Z351,electric,consumption,,P,transformer,H2.Z35,Transformer redundant,28861.0,0.0,27.0,0.0,0.09,,2020-09-15 10:00:00+00:00,2023-12-31 22:00:00+00:00,28861.0,27.0,0.0
H2.Z36,electric,consumption,,P,transformer,H2.Z361,Transformer,23577.0,0.0,19.0,0.0,0.08,,2018-01-01 00:00:00+00:00,2020-09-09 08:00:00+00:00,23577.0,19.0,0.0
H2.Z361,electric,consumption,,P,transformer,H2.Z36,Transformer redundant,28861.0,0.0,27.0,0.0,0.09,,2020-09-15 10:00:00+00:00,2023-12-31 22:00:00+00:00,28861.0,27.0,0.0
H1.Z15,electric,consumption,,,distribution,,Distribution,46017.0,0.0,538.0,0.0,1.17,,2018-01-03 05:00:00+00:00,2023-12-21 13:00:00+00:00,46017.0,538.0,0.0
H1.Z28,electric,consumption,,,distribution,,Distribution,47188.0,0.0,532.0,0.0,1.13,,2018-01-01 00:00:00+00:00,2023-12-21 13:00:00+00:00,47188.0,532.0,0.0
H2.T.Z31,electric,consumption,,P,distribution,,Distribution,52583.0,0.0,87.0,0.0,0.17,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,87.0,0.0
H2.T.Z32,electric,consumption,,P,distribution,,Distribution,52583.0,0.0,375.0,0.0,0.71,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,375.0,0.0
H2.T.Z33,electric,consumption,,P,distribution,,Distribution,51842.0,0.0,98.0,0.0,0.19,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51842.0,98.0,0.0
H2.T.Z34,electric,consumption,,P,distribution,,Distribution,52583.0,0.0,133.0,0.0,0.25,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,133.0,0.0
H2.T.Z30,electric,consumption,,P,distribution,,Distribution,52583.0,0.0,74.0,0.0,0.14,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,74.0,0.0
H1.Z13,electric,consumption,,P,hvac,,HVAC,52585.0,0.0,302.0,0.0,0.57,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,302.0,0.0
H1.Z14,electric,consumption,,P,hvac,,HVAC,52585.0,0.0,252.0,0.0,0.48,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,252.0,0.0
H1.Z10,electric,consumption,,P,test,,Test,52585.0,0.0,406.0,0.0,0.77,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,406.0,0.0
H1.Z17,electric,consumption,,,test,,Test,52583.0,0.0,458.0,0.0,0.87,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,458.0,0.0
H1.Z18,electric,consumption,,P,test,,Test,52585.0,0.0,774.0,0.0,1.47,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,774.0,0.0
H1.Z19,electric,consumption,,P,test,,Test,52585.0,0.0,66.0,0.0,0.13,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,66.0,0.0
H1.Z21,electric,consumption,,P,test,,Test,52356.0,0.0,562.0,0.0,1.07,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52356.0,562.0,0.0
H1.Z22,electric,consumption,,P,test,,Test,47573.0,0.0,437.0,0.0,0.92,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,47573.0,437.0,0.0
H1.Z23,electric,consumption,,P,test,,Test,52583.0,0.0,229.0,0.0,0.44,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,229.0,0.0
H1.Z26,electric,consumption,,P,test,,Test,52583.0,0.0,363.0,0.0,0.69,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,363.0,0.0
H1.Z27,electric,consumption,,P,test,,Test,52583.0,0.0,585.0,0.0,1.11,,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,52583.0,585.0,0.0
H1.Z29,electric,consumption,,,test,,Test,33538.0,0.0,203.0,0.0,0.61,,2018-01-03 05:00:00+00:00,2023-12-12 09:00:00+00:00,33538.0,203.0,0.0
H2.Z61,electric,consumption,,P,server,,Server,52585.0,0.0,178.0,0.0,0.34,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,178.0,0.0
H2.Z62,electric,consumption,,P,server,,Server,47217.0,0.0,255.0,0.0,0.54,,2018-01-01 00:00:00+00:00,2023-06-24 09:00:00+00:00,47217.0,255.0,0.0
H2.Z63,electric,consumption,,P,server,,Server,52585.0,0.0,73.0,0.0,0.14,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,73.0,0.0
H2.Z64,electric,consumption,,P,server,H2.ZE64,Server,52585.0,0.0,104.0,0.0,0.2,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,104.0,0.0
H2.ZE64,electric,consumption,,P,server,H2.Z64,Server redundant,15585.0,0.0,42.0,0.0,0.27,,2022-03-22 14:00:00+00:00,2023-12-31 22:00:00+00:00,15585.0,42.0,0.0
H2.Z65,electric,consumption,,P,server,H2.ZE65,Server,52585.0,0.0,123.0,0.0,0.23,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,123.0,0.0
H2.ZE65,electric,consumption,,P,server,H2.Z65,Server redundant,15056.0,0.0,29.0,0.0,0.19,,2022-03-22 14:00:00+00:00,2023-12-09 21:00:00+00:00,15056.0,29.0,0.0
H2.Z71,electric,consumption,,P,server,,Server,,,,,,유효 데이터 없음,,,,,
H3.Z46,electric,consumption,,P,server,,Server,52585.0,0.0,602.0,0.0,1.14,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,602.0,0.0
H3.Z43,electric,consumption,,P,server,H3.ZE43,Server,51842.0,0.0,237.0,0.0,0.46,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51842.0,237.0,0.0
H3.ZE43,electric,consumption,,P,server,H3.Z43,Server redundant,15686.0,0.0,62.0,0.0,0.4,,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,15686.0,62.0,0.0
H3.Z44,electric,consumption,,P,server,H3.ZE44,Server,51808.0,0.0,116.0,0.0,0.22,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51808.0,116.0,0.0
H3.ZE44,electric,consumption,,P,server,H3.Z44,Server redundant,15686.0,0.0,9.0,0.0,0.06,,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,15686.0,9.0,0.0
H2.Z68,electric,consumption,,P,ventilation,,Ventilation,52585.0,0.0,237.0,0.0,0.45,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,237.0,0.0
H2.Z69,electric,consumption,,P,ventilation,,Ventilation,52585.0,0.0,284.0,0.0,0.54,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,284.0,0.0
H2.Z70,electric,consumption,,P,ventilation,,Ventilation,52585.0,0.0,32.0,0.0,0.06,,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,52585.0,32.0,0.0
H3.Z42,electric,consumption,,P,ventilation,,Ventilation,51840.0,0.0,37.0,0.0,0.07,,2018-01-31 23:00:00+00:00,2023-12-31 22:00:00+00:00,51840.0,37.0,0.0
H3.Z40,electric,consumption,,P,design_dis,H3.ZE40,Design distribution,51842.0,0.0,424.0,0.0,0.82,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51842.0,424.0,0.0
H3.ZE40,electric,consumption,,P,design_dis,H3.Z40,Design distribution redundant,15686.0,0.0,142.0,0.0,0.91,,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,15686.0,142.0,0.0
H3.Z41,electric,consumption,,P,design_dis,H3.ZE41,Design distribution,51842.0,0.0,142.0,0.0,0.27,,2018-01-31 23:00:00+00:00,2024-01-01 00:00:00+00:00,51842.0,142.0,0.0
H3.ZE41,electric,consumption,,P,design_dis,H3.Z41,Design distribution redundant,15602.0,0.0,187.0,0.0,1.2,,2022-03-18 09:00:00+00:00,2023-12-31 22:00:00+00:00,15602.0,187.0,0.0
H4.Z50,electric,consumption,,P,office_dis,H4.ZE50,Office distribution,47990.0,0.0,295.0,0.0,0.61,,2018-01-01 00:00:00+00:00,2023-06-23 13:00:00+00:00,47990.0,295.0,0.0
H4.ZE50,electric,consumption,,P,office_dis,H4.Z50,Office distribution redundant,15588.0,0.0,163.0,0.0,1.05,,2022-03-22 11:00:00+00:00,2023-12-31 22:00:00+00:00,15588.0,163.0,0.0
H4.Z51,electric,consumption,,P,office_dis,H4.ZE51,Office distribution,47990.0,0.0,375.0,0.0,0.78,,2018-01-01 00:00:00+00:00,2023-06-23 13:00:00+00:00,47990.0,375.0,0.0
H4.ZE51,electric,consumption,,P,office_dis,H4.Z51,Office distribution redundant,15589.0,0.0,174.0,0.0,1.12,,2022-03-22 11:00:00+00:00,2023-12-31 22:00:00+00:00,15589.0,174.0,0.0
H3.Z47,electric,consumption,,P,simulation,,Simulation,30699.0,0.0,373.0,0.0,1.22,,2020-06-30 22:00:00+00:00,2024-01-01 00:00:00+00:00,30699.0,373.0,0.0
H3.Z48,electric,consumption,,P,simulation,,Simulation,30616.0,0.0,153.0,0.0,0.5,,2020-06-30 22:00:00+00:00,2024-01-01 00:00:00+00:00,30616.0,153.0,0.0
H3.Z49,electric,consumption,,P,simulation,,Simulation,30699.0,0.0,232.0,0.0,0.76,,2020-06-30 22:00:00+00:00,2024-01-01 00:00:00+00:00,30699.0,232.0,0.0
H2.ZE74,electric,consumption,,P,robolab,,Robolab,15681.0,0.0,105.0,0.0,0.67,,2022-03-18 14:00:00+00:00,2023-12-31 22:00:00+00:00,15681.0,105.0,0.0
