ts,y_true,y_pred,error
2022-02-24 04:15:00+00:00,487166.6666666667,461298.61299100996,25868.05367565673
2022-02-24 04:30:00+00:00,465366.6666666667,463373.3841593235,1993.2825073431595
2022-02-24 04:45:00+00:00,457606.6666666667,464905.6451740569,-7298.978507390188
2022-02-24 05:00:00+00:00,440520.0,465816.86661349586,-25296.866613495862
2022-02-24 05:15:00+00:00,429753.3333333333,466047.00377409055,-36293.67044075724
2022-02-24 05:30:00+00:00,486020.0,465558.088559577,20461.91144042299
2022-02-24 05:45:00+00:00,492806.6666666667,464336.62105790374,28470.045608762943
2022-02-24 06:00:00+00:00,509660.0,462394.60074889567,47265.39925110433
2022-02-24 06:15:00+00:00,501753.3333333333,459769.1263191802,41984.20701415313
2022-02-24 06:30:00+00:00,501060.0,456520.586979682,44539.413020318025
2022-02-24 06:45:00+00:00,482746.6666666667,452729.56060548883,30017.106061177852
2022-02-24 07:00:00+00:00,522153.3333333333,448492.61871020345,73660.71462312987
2022-02-24 07:15:00+00:00,553820.0,443917.30934553244,109902.69065446756
2022-02-24 07:30:00+00:00,541860.0,439116.64179362217,102743.35820637783
2022-02-24 07:45:00+00:00,501180.0,434203.427725641,66976.572274359
2022-02-24 08:00:00+00:00,469306.6666666667,429284.840212589,40021.82645407767
2022-02-24 08:15:00+00:00,450000.0,424457.5343322591,25542.465667740908
2022-02-24 08:30:00+00:00,454406.6666666667,419803.63214743976,34603.03451922693
2022-02-24 08:45:00+00:00,470620.0,415387.813481265,55232.18651873502
2022-02-24 09:00:00+00:00,464386.6666666667,411255.676420458,53130.990246208676
2022-02-24 09:15:00+00:00,427466.6666666667,407433.44311673596,20033.223549930728
2022-02-24 09:30:00+00:00,397926.6666666667,403928.99327049626,-6002.32660382957
2022-02-24 09:45:00+00:00,352240.0,400734.1162315953,-48494.11623159528
2022-02-24 10:00:00+00:00,222793.3333333333,397827.7890227318,-175034.4556893985
2022-02-24 10:15:00+00:00,132240.0,395180.2176706854,-262940.2176706854
2022-02-24 10:30:00+00:00,312066.6666666667,392757.3278030504,-80690.66113638371
2022-02-24 10:45:00+00:00,327333.3333333333,390525.3610555122,-63192.0277221789
2022-02-24 11:00:00+00:00,284613.3333333333,388455.2284563401,-103841.89512300678
2022-02-24 11:15:00+00:00,269686.6666666667,386526.2910819043,-116839.62441523763
2022-02-24 11:30:00+00:00,246193.3333333333,384729.28048654844,-138535.94715321512
2022-02-24 11:45:00+00:00,254433.3333333333,383068.13390585186,-128634.80057251855
2022-02-24 12:00:00+00:00,266186.6666666667,381560.59767543897,-115373.93100877228
2022-02-24 12:15:00+00:00,305346.6666666667,380237.54134712607,-74890.87468045938
2022-02-24 12:30:00+00:00,323800.0,379141.0183844919,-55341.01838449191
2022-02-24 12:45:00+00:00,395280.0,378321.2007835979,16958.799216402113
2022-02-24 13:00:00+00:00,333540.0,377832.39799485705,-44292.39799485705
2022-02-24 13:15:00+00:00,354626.6666666667,377728.4394497598,-23101.772783093096
2022-02-24 13:30:00+00:00,394046.6666666667,378057.7499445458,15988.916722120892
2022-02-24 13:45:00+00:00,392540.0,378858.4745683016,13681.525431698421
2022-02-24 14:00:00+00:00,437233.3333333333,380154.0127659023,57079.32056743099
2022-02-24 14:15:00+00:00,424513.3333333333,381949.2991505731,42564.034182760224
2022-02-24 14:30:00+00:00,588833.3333333334,384228.1231755024,204605.21015783097
2022-02-24 14:45:00+00:00,547033.3333333334,386951.7137029816,160081.61963035178
2022-02-24 15:00:00+00:00,523113.3333333333,390058.73225712636,133054.60107620695
2022-02-24 15:15:00+00:00,518440.0,393466.72573004756,124973.27426995244
2022-02-24 15:30:00+00:00,560880.0,397074.9919527669,163805.0080472331
2022-02-24 15:45:00+00:00,553446.6666666666,400768.716141051,152677.95052561566
2022-02-24 16:00:00+00:00,526353.3333333334,404424.1494836437,121929.18384968967
2022-02-24 16:15:00+00:00,504353.3333333333,407914.5288052472,96438.8045280861
2022-02-24 16:30:00+00:00,504406.6666666667,411116.38328943274,93290.28337723395
2022-02-24 16:45:00+00:00,499660.0,413915.8442692373,85744.1557307627
2022-02-24 17:00:00+00:00,546166.6666666666,416214.5693883272,129952.09727833944
2022-02-24 17:15:00+00:00,571646.6666666666,417934.9130952972,153711.75357136945
