meter_urn,measurement,resolution_code,rows,null_rows,null_pct,min_ts,max_ts
H1.Z13,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z13,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z13,WQ_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,WQ_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,W_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z13,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z14,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z14,WQ_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,WQ_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,W_in,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z14,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,W,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,W1,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,W2,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,W3,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,W_in,1h,52575,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 14:00:00+00:00
H1.Z15,W_out,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z15,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,I3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,P3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,PF,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,PF3,1h,52523,0,0.00,2018-01-03 12:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z16,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z16,WQ_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,WQ_out,1h,51895,0,0.00,2018-01-29 16:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,W_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,W_out,1h,51895,0,0.00,2018-01-29 16:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z16,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W1,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W2,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W3,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z17,W_out,1h,30301,0,0.00,2018-01-01 00:00:00+00:00,2021-06-16 12:00:00+00:00
H1.Z17,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,I3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,P,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,P1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,P2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,P3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,PF,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,PF1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,PF2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,PF3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,Q,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,U1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,U2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,U3,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,W,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z18,WQ,1h,52585,0,0.00,2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
H1.Z18,WQ_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,WQ_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,W_in,1h,52583,0,0.00,2018-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,W_out,1h,52062,0,0.00,2018-01-22 17:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z18,f,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z19,I1,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
H1.Z19,I2,1h,52584,0,0.00,2017-12-31 23:00:00+00:00,2023-12-31 22:00:00+00:00
