meter_urn,target_column,rank,column,corr,abs_corr
H1.ZE20,P,16,Ua,-0.345511,0.345511
H1.ZE20,P,17,U3,-0.332071,0.332071
H1.ZE20,P,18,Igm,0.29417,0.29417
H1.ZE20,P,19,Igc,0.292583,0.292583
H1.ZE20,P,20,U1,-0.254248,0.254248
H1.ZE20,P,21,U2,-0.224802,0.224802
H1.ZE20,P,22,W3,0.090435,0.090435
H1.ZE20,P,23,W,0.090309,0.090309
H1.ZE20,P,24,W2,0.090271,0.090271
H1.ZE20,P,25,W1,0.090231,0.090231
H1.ZE20,P,26,W_out,-0.090063,0.090063
H1.ZE20,P,27,W_in,-0.046512,0.046512
H1.ZE20,P,28,f,0.017571,0.017571
H1.ZE20,P,29,Sc,-0.012111,0.012111
H1.ZE20,P,30,Dc,-0.004137,0.004137
V.Z84,P,1,P3,0.999977,0.999977
V.Z84,P,2,P1,0.999974,0.999974
V.Z84,P,3,P2,0.999942,0.999942
V.Z84,P,4,I1,0.999889,0.999889
V.Z84,P,5,I3,0.999869,0.999869
V.Z84,P,6,I2,0.999802,0.999802
V.Z84,P,7,Igc,-0.979775,0.979775
V.Z84,P,8,Igm,-0.979473,0.979473
V.Z84,P,9,PF3,0.688022,0.688022
V.Z84,P,10,PF2,0.686294,0.686294
V.Z84,P,11,PF1,0.681895,0.681895
V.Z84,P,12,Ua,0.601741,0.601741
V.Z84,P,13,Ta,-0.493873,0.493873
V.Z84,P,14,rho,0.412652,0.412652
V.Z84,P,15,H,-0.351356,0.351356
V.Z84,P,16,Sc,-0.298636,0.298636
V.Z84,P,17,U3,0.246749,0.246749
V.Z84,P,18,U1,0.20524,0.20524
V.Z84,P,19,U2,0.190769,0.190769
V.Z84,P,20,Dp,-0.141925,0.141925
V.Z84,P,21,Ah,-0.112658,0.112658
V.Z84,P,22,Dc,-0.070834,0.070834
V.Z84,P,23,W_out,0.030804,0.030804
V.Z84,P,24,W,-0.030804,0.030804
V.Z84,P,25,W_in,0.029935,0.029935
V.ZE84,P,1,P1,0.9968,0.9968
V.ZE84,P,2,P2,0.995505,0.995505
V.ZE84,P,3,I1,0.994433,0.994433
V.ZE84,P,4,I2,0.994291,0.994291
V.ZE84,P,5,Igm,-0.97784,0.97784
V.ZE84,P,6,Igc,-0.977391,0.977391
V.ZE84,P,7,PF,0.733882,0.733882
V.ZE84,P,8,PF2,0.670342,0.670342
V.ZE84,P,9,Ua,0.617323,0.617323
V.ZE84,P,10,PF1,0.612627,0.612627
V.ZE84,P,11,Ta,-0.503196,0.503196
V.ZE84,P,12,rho,0.414983,0.414983
V.ZE84,P,13,H,-0.372774,0.372774
V.ZE84,P,14,Sc,-0.248264,0.248264
V.ZE84,P,15,U3,0.240113,0.240113
V.ZE84,P,16,W3,-0.217936,0.217936
V.ZE84,P,17,U1,0.216648,0.216648
V.ZE84,P,18,U2,0.2142,0.2142
V.ZE84,P,19,PF3,-0.20706,0.20706
V.ZE84,P,20,I3,0.205797,0.205797
V.ZE84,P,21,Dp,-0.187804,0.187804
V.ZE84,P,22,Ah,-0.1606,0.1606
V.ZE84,P,23,W_in,-0.100738,0.100738
V.ZE84,P,24,f,-0.048256,0.048256
V.ZE84,P,25,W2,0.047735,0.047735
V.ZE84,P,26,W_out,-0.046286,0.046286
V.ZE84,P,27,W,0.044962,0.044962
V.ZE84,P,28,W1,0.042289,0.042289
V.ZE84,P,29,P3,0.025324,0.025324
V.ZE84,P,30,Dc,-0.015615,0.015615
H1.Z310,P,1,P3,0.999999,0.999999
H1.Z310,P,2,P1,0.999999,0.999999
H1.Z310,P,3,P2,0.999999,0.999999
H1.Z310,P,4,I1,-0.999241,0.999241
H1.Z310,P,5,I2,-0.999236,0.999236
H1.Z310,P,6,I3,-0.999236,0.999236
H1.Z310,P,7,Igc,-0.976719,0.976719
H1.Z310,P,8,Igm,-0.976321,0.976321
H1.Z310,P,9,PF,0.68313,0.68313
H1.Z310,P,10,PF3,0.64062,0.64062
H1.Z310,P,11,PF2,0.639647,0.639647
H1.Z310,P,12,PF1,0.638026,0.638026
H1.Z310,P,13,Ua,0.597248,0.597248
H1.Z310,P,14,Ta,-0.502987,0.502987
H1.Z310,P,15,rho,0.427106,0.427106
H1.Z310,P,16,H,-0.370535,0.370535
H1.Z310,P,17,Sc,-0.292987,0.292987
H1.Z310,P,18,U3,0.226253,0.226253
H1.Z310,P,19,Dp,-0.176198,0.176198
H1.Z310,P,20,U1,0.163787,0.163787
H1.Z310,P,21,Ah,-0.14449,0.14449
H1.Z310,P,22,U2,0.128282,0.128282
H1.Z310,P,23,W_in,0.095711,0.095711
H1.Z310,P,24,Dc,-0.071138,0.071138
H1.Z310,P,25,W3,-0.017053,0.017053
H1.Z310,P,26,W_out,0.017018,0.017018
H1.Z310,P,27,W2,-0.016841,0.016841
H1.Z310,P,28,W,-0.016831,0.016831
H1.Z310,P,29,W1,-0.016825,0.016825
H1.Z310,P,30,f,0.00349,0.00349
H2.Z311,P,1,P1,0.999999,0.999999
H2.Z311,P,2,P3,0.999999,0.999999
H2.Z311,P,3,P2,0.999999,0.999999
H2.Z311,P,4,I2,-0.994465,0.994465
H2.Z311,P,5,I3,-0.994461,0.994461
H2.Z311,P,6,I1,-0.994453,0.994453
H2.Z311,P,7,Igc,-0.976922,0.976922
H2.Z311,P,8,Igm,-0.976913,0.976913
H2.Z311,P,9,PF,0.667386,0.667386
H2.Z311,P,10,PF3,0.628909,0.628909
H2.Z311,P,11,PF2,0.627847,0.627847
H2.Z311,P,12,PF1,0.62764,0.62764
H2.Z311,P,13,Ua,0.597305,0.597305
H2.Z311,P,14,Ta,-0.500827,0.500827
H2.Z311,P,15,rho,0.42534,0.42534
H2.Z311,P,16,H,-0.367973,0.367973
H2.Z311,P,17,Sc,-0.295002,0.295002
H2.Z311,P,18,Dp,-0.17295,0.17295
H2.Z311,P,19,Ah,-0.141671,0.141671
H2.Z311,P,20,U3,0.124803,0.124803
H2.Z311,P,21,Dc,-0.072111,0.072111
H2.Z311,P,22,U1,0.05345,0.05345
H2.Z311,P,23,W3,-0.020821,0.020821
H2.Z311,P,24,W_out,0.020757,0.020757
H2.Z311,P,25,W_in,0.019846,0.019846
H2.Z311,P,26,W2,-0.019078,0.019078
H2.Z311,P,27,W1,-0.019072,0.019072
H2.Z311,P,28,W,-0.018856,0.018856
H2.Z311,P,29,U2,0.012385,0.012385
H2.Z311,P,30,f,0.004146,0.004146
H3.Z312,P,1,P1,0.999999,0.999999
H3.Z312,P,2,P2,0.999999,0.999999
H3.Z312,P,3,P3,0.999998,0.999998
H3.Z312,P,4,I1,-0.998854,0.998854
H3.Z312,P,5,I3,-0.998853,0.998853
H3.Z312,P,6,I2,-0.998853,0.998853
H3.Z312,P,7,Igm,-0.953629,0.953629
H3.Z312,P,8,Igc,-0.953286,0.953286
H3.Z312,P,9,PF,0.668671,0.668671
H3.Z312,P,10,PF3,0.631208,0.631208
H3.Z312,P,11,PF2,0.627067,0.627067
H3.Z312,P,12,PF1,0.626844,0.626844
H3.Z312,P,13,Ua,0.584877,0.584877
H3.Z312,P,14,Ta,-0.485787,0.485787
H3.Z312,P,15,rho,0.411843,0.411843
H3.Z312,P,16,H,-0.357207,0.357207
H3.Z312,P,17,Sc,-0.29573,0.29573
H3.Z312,P,18,Dp,-0.166229,0.166229
H3.Z312,P,19,U2,-0.142851,0.142851
H3.Z312,P,20,Ah,-0.137751,0.137751
H3.Z312,P,21,W_in,0.090553,0.090553
H3.Z312,P,22,U1,-0.069365,0.069365
H3.Z312,P,23,Dc,-0.065435,0.065435
H3.Z312,P,24,U3,0.060107,0.060107
H3.Z312,P,25,W_out,0.023222,0.023222
H3.Z312,P,26,W2,-0.023221,0.023221
H3.Z312,P,27,W3,-0.023219,0.023219
H3.Z312,P,28,W,-0.022989,0.022989
H3.Z312,P,29,W1,-0.022976,0.022976
H3.Z312,P,30,f,0.002683,0.002683
H1.Z16,P,1,P2,0.999973,0.999973
H1.Z16,P,2,P1,0.999971,0.999971
H1.Z16,P,3,I1,0.997762,0.997762
H1.Z16,P,4,I2,0.997682,0.997682
H1.Z16,P,5,P3,0.997551,0.997551
H1.Z16,P,6,I3,0.995678,0.995678
H1.Z16,P,7,Q,0.99175,0.99175
H1.Z16,P,8,PF3,0.990055,0.990055
H1.Z16,P,9,PF,-0.937275,0.937275
H1.Z16,P,10,PF1,-0.907633,0.907633
H1.Z16,P,11,PF2,-0.730251,0.730251
H1.Z16,P,12,WQ_in,0.163497,0.163497
H1.Z16,P,13,WQ,0.163497,0.163497
H1.Z16,P,14,W,0.1579,0.1579
H1.Z16,P,15,W_in,0.1579,0.1579
H1.Z16,P,16,f,0.094434,0.094434
H1.Z16,P,17,Sc,0.063038,0.063038
H1.Z16,P,18,Ta,0.061663,0.061663
H1.Z16,P,19,Igm,0.060331,0.060331
H1.Z16,P,20,Igc,0.059196,0.059196
H1.Z16,P,21,rho,-0.057075,0.057075
H1.Z16,P,22,H,0.055372,0.055372
H1.Z16,P,23,Ua,-0.045312,0.045312
H1.Z16,P,24,Dp,0.041682,0.041682
H1.Z16,P,25,Ah,0.039308,0.039308
H1.Z16,P,26,Dc,0.028587,0.028587
H1.Z16,P,27,U1,0.007565,0.007565
H1.Z16,P,28,U3,0.005357,0.005357
H1.Z16,P,29,U2,-0.001474,0.001474
H1.Z11,P,1,P2,0.988085,0.988085
H1.Z11,P,2,P1,0.987548,0.987548
H1.Z11,P,3,P3,0.985872,0.985872
H1.Z11,P,4,I2,0.980418,0.980418
H1.Z11,P,5,I1,0.979006,0.979006
H1.Z11,P,6,Q,0.97889,0.97889
H1.Z11,P,7,I3,0.978532,0.978532
H1.Z11,P,8,PF3,0.909057,0.909057
H1.Z11,P,9,Ta,0.527619,0.527619
H1.Z11,P,10,H,0.497896,0.497896
H1.Z11,P,11,rho,-0.480626,0.480626
H1.Z11,P,12,PF,-0.40459,0.40459
H1.Z11,P,13,Ah,0.375101,0.375101
H1.Z11,P,14,Dp,0.374173,0.374173
H1.Z11,P,15,Igm,0.369777,0.369777
H1.Z11,P,16,Igc,0.36685,0.36685
H1.Z11,P,17,f,0.341743,0.341743
H1.Z11,P,18,Ua,-0.341627,0.341627
H1.Z11,P,19,U3,-0.274139,0.274139
H1.Z11,P,20,PF1,-0.249959,0.249959
H1.Z11,P,21,U2,-0.235733,0.235733
H1.Z11,P,22,U1,-0.230301,0.230301
H1.Z11,P,23,W_out,-0.061593,0.061593
H1.Z11,P,24,WQ,-0.058043,0.058043
H1.Z11,P,25,WQ_in,-0.058043,0.058043
H1.Z11,P,26,W_in,-0.0557,0.0557
H1.Z11,P,27,W,-0.0557,0.0557
H1.Z11,P,28,WQ_out,-0.029119,0.029119
H1.Z11,P,29,Dc,0.027388,0.027388
H1.Z11,P,30,Sc,0.02589,0.02589
H1.Z11,P,31,PF2,-0.012046,0.012046
H1.Z12,P,1,P2,0.988048,0.988048
H1.Z12,P,2,P1,0.987623,0.987623
H1.Z12,P,3,P3,0.987412,0.987412
H1.Z12,P,4,I2,0.980247,0.980247
H1.Z12,P,5,I3,0.980163,0.980163
H1.Z12,P,6,Q,0.978994,0.978994
H1.Z12,P,7,I1,0.978433,0.978433
H1.Z12,P,8,PF3,0.828411,0.828411
H1.Z12,P,9,PF,-0.601435,0.601435
H1.Z12,P,10,Ta,0.527648,0.527648
H1.Z12,P,11,H,0.497889,0.497889
H1.Z12,P,12,rho,-0.480645,0.480645
H1.Z12,P,13,f,0.404669,0.404669
H1.Z12,P,14,Ah,0.375052,0.375052
H1.Z12,P,15,Dp,0.374155,0.374155
H1.Z12,P,16,Igm,0.369853,0.369853
H1.Z12,P,17,Igc,0.36692,0.36692
H1.Z12,P,18,Ua,-0.341666,0.341666
H1.Z12,P,19,PF1,-0.278771,0.278771
H1.Z12,P,20,U3,-0.271387,0.271387
H1.Z12,P,21,U2,-0.228478,0.228478
H1.Z12,P,22,U1,-0.222213,0.222213
H1.Z12,P,23,PF2,-0.17756,0.17756
H1.Z12,P,24,WQ_out,-0.06939,0.06939
H1.Z12,P,25,W_out,-0.06816,0.06816
H1.Z12,P,26,WQ_in,-0.058347,0.058347
H1.Z12,P,27,WQ,-0.058346,0.058346
H1.Z12,P,28,W_in,-0.056021,0.056021
H1.Z12,P,29,W,-0.056021,0.056021
H1.Z12,P,30,Dc,0.02734,0.02734
H1.Z12,P,31,Sc,0.025884,0.025884
H1.Z24,P,1,Q,0.982004,0.982004
H1.Z24,P,2,I1,0.964742,0.964742
H1.Z24,P,3,I2,0.964297,0.964297
H1.Z24,P,4,P2,0.96421,0.96421
H1.Z24,P,5,P1,0.964208,0.964208
H1.Z24,P,6,I3,0.963657,0.963657
H1.Z24,P,7,P3,0.96318,0.96318
H1.Z24,P,8,PF,-0.845145,0.845145
H1.Z24,P,9,Ta,0.276806,0.276806
H1.Z24,P,10,rho,-0.247015,0.247015
H1.Z24,P,11,Ua,-0.240928,0.240928
H1.Z24,P,12,PF3,0.238987,0.238987
H1.Z24,P,13,Igm,0.23428,0.23428
H1.Z24,P,14,Igc,0.231949,0.231949
H1.Z24,P,15,H,0.230059,0.230059
H1.Z24,P,16,PF2,0.204536,0.204536
H1.Z24,P,17,PF1,0.165929,0.165929
H1.Z24,P,18,Dp,0.140555,0.140555
H1.Z24,P,19,Ah,0.130555,0.130555
H1.Z24,P,20,U3,-0.122073,0.122073
H1.Z24,P,21,f,0.117358,0.117358
H1.Z24,P,22,U1,-0.106832,0.106832
H1.Z24,P,23,U2,-0.092025,0.092025
H1.Z24,P,24,WQ_out,0.028889,0.028889
H1.Z24,P,25,Sc,0.020433,0.020433
H1.Z24,P,26,Dc,-0.01762,0.01762
H1.Z24,P,27,W_in,0.016655,0.016655
H1.Z24,P,28,WQ_in,0.015345,0.015345
H1.Z24,P,29,W,0.013023,0.013023
H1.Z24,P,30,WQ,0.01167,0.01167
H1.Z25,P,1,Q,0.978119,0.978119
H1.Z25,P,2,P3,0.96569,0.96569
H1.Z25,P,3,I1,0.965615,0.965615
H1.Z25,P,4,I2,0.965432,0.965432
H1.Z25,P,5,I3,0.965081,0.965081
H1.Z25,P,6,P1,0.964444,0.964444
H1.Z25,P,7,P2,0.964261,0.964261
H1.Z25,P,8,PF,-0.850938,0.850938
H1.Z25,P,9,PF3,0.552669,0.552669
H1.Z25,P,10,PF1,-0.45131,0.45131
H1.Z25,P,11,Ta,0.272413,0.272413
H1.Z25,P,12,PF2,0.243661,0.243661
H1.Z25,P,13,rho,-0.242938,0.242938
H1.Z25,P,14,Ua,-0.238102,0.238102
H1.Z25,P,15,Igm,0.230872,0.230872
H1.Z25,P,16,Igc,0.228556,0.228556
H1.Z25,P,17,H,0.226038,0.226038
H1.Z25,P,18,Dp,0.137508,0.137508
H1.Z25,P,19,f,0.136369,0.136369
H1.Z25,P,20,Ah,0.1277,0.1277
H1.Z25,P,21,U3,-0.12108,0.12108
H1.Z25,P,22,U1,-0.107313,0.107313
H1.Z25,P,23,U2,-0.09368,0.09368
H1.Z25,P,24,WQ_out,0.034401,0.034401
H1.Z25,P,25,W_out,-0.020986,0.020986
H1.Z25,P,26,Sc,0.019396,0.019396
H1.Z25,P,27,Dc,-0.018142,0.018142
H1.Z25,P,28,W_in,0.015933,0.015933
H1.Z25,P,29,WQ_in,0.014514,0.014514
H1.Z25,P,30,WQ,0.014491,0.014491
H1.Z25,P,31,W,0.012288,0.012288
H3.Z45,P,1,P2,0.99804,0.99804
H3.Z45,P,2,P3,0.997066,0.997066
H3.Z45,P,3,P1,0.996877,0.996877
H3.Z45,P,4,I2,0.996405,0.996405
H3.Z45,P,5,I3,0.996157,0.996157
H3.Z45,P,6,I1,0.995887,0.995887
H3.Z45,P,7,Q,0.853128,0.853128
H3.Z45,P,8,PF1,0.525849,0.525849
H3.Z45,P,9,Ta,0.525327,0.525327
H3.Z45,P,10,H,0.48542,0.48542
H3.Z45,P,11,rho,-0.477946,0.477946
H3.Z45,P,12,PF,0.4142,0.4142
H3.Z45,P,13,PF3,0.369945,0.369945
H3.Z45,P,14,Dp,0.353372,0.353372
H3.Z45,P,15,Ua,-0.352196,0.352196
H3.Z45,P,16,Ah,0.349058,0.349058
H3.Z45,P,17,Igm,0.32627,0.32627
H3.Z45,P,18,Igc,0.322795,0.322795
H3.Z45,P,19,f,0.226222,0.226222
H3.Z45,P,20,PF2,0.181227,0.181227
H3.Z45,P,21,U3,-0.087701,0.087701
H3.Z45,P,22,U1,-0.083462,0.083462
H3.Z45,P,23,WQ,-0.076384,0.076384
H3.Z45,P,24,WQ_in,-0.072348,0.072348
H3.Z45,P,25,U2,-0.071753,0.071753
H3.Z45,P,26,W_out,-0.058581,0.058581
H3.Z45,P,27,W,-0.053614,0.053614
H3.Z45,P,28,W_in,-0.053611,0.053611
H3.Z45,P,29,Sc,0.040012,0.040012
H3.Z45,P,30,Dc,0.035381,0.035381
H3.Z45,P,31,WQ_out,-0.007452,0.007452
H2.Z66,P,1,Q,0.997866,0.997866
H2.Z66,P,2,P1,0.996459,0.996459
H2.Z66,P,3,P2,0.995868,0.995868
H2.Z66,P,4,I2,0.988638,0.988638
H2.Z66,P,5,I1,0.987876,0.987876
H2.Z66,P,6,PF2,0.986049,0.986049
H2.Z66,P,7,P3,0.985259,0.985259
H2.Z66,P,8,I3,0.984513,0.984513
H2.Z66,P,9,PF3,0.983322,0.983322
H2.Z66,P,10,PF,0.768751,0.768751
H2.Z66,P,11,PF1,0.241775,0.241775
H2.Z66,P,12,Ta,0.088346,0.088346
H2.Z66,P,13,H,0.085468,0.085468
H2.Z66,P,14,rho,-0.084482,0.084482
H2.Z66,P,15,Ah,0.067346,0.067346
H2.Z66,P,16,Dp,0.061071,0.061071
H2.Z66,P,17,Ua,-0.058898,0.058898
H2.Z66,P,18,Igm,0.051623,0.051623
H2.Z66,P,19,Igc,0.051078,0.051078
H2.Z66,P,20,f,0.041851,0.041851
H2.Z66,P,21,Dc,-0.03121,0.03121
H2.Z66,P,22,W,-0.017919,0.017919
H2.Z66,P,23,W_in,-0.017919,0.017919
H2.Z66,P,24,WQ,-0.017808,0.017808
H2.Z66,P,25,WQ_in,-0.017808,0.017808
H2.Z66,P,26,U3,-0.017334,0.017334
H2.Z66,P,27,U2,-0.014989,0.014989
H2.Z66,P,28,Sc,-0.014811,0.014811
H2.Z66,P,29,U1,-0.010179,0.010179
H2.ZE66,P,1,P2,0.999967,0.999967
H2.ZE66,P,2,P1,0.999951,0.999951
H2.ZE66,P,3,I2,0.997192,0.997192
H2.ZE66,P,4,I1,0.997177,0.997177
H2.ZE66,P,5,P3,0.995297,0.995297
H2.ZE66,P,6,I3,0.939991,0.939991
H2.ZE66,P,7,PF2,0.937596,0.937596
H2.ZE66,P,8,PF1,-0.927339,0.927339
H2.ZE66,P,9,PF3,-0.920997,0.920997
H2.ZE66,P,10,W1,0.396409,0.396409
H2.ZE66,P,11,W3,0.396223,0.396223
H2.ZE66,P,12,W,0.3962,0.3962
H2.ZE66,P,13,W_in,0.396191,0.396191
H2.ZE66,P,14,W2,0.39601,0.39601
H2.ZE66,P,15,Ah,0.264261,0.264261
H2.ZE66,P,16,PF,0.256996,0.256996
H2.ZE66,P,17,Dp,0.25518,0.25518
H2.ZE66,P,18,H,0.245184,0.245184
H2.ZE66,P,19,rho,-0.207746,0.207746
H2.ZE66,P,20,Ta,0.194719,0.194719
H2.ZE66,P,21,U2,-0.06855,0.06855
H2.ZE66,P,22,Sc,-0.064844,0.064844
H2.ZE66,P,23,W_out,0.064811,0.064811
H2.ZE66,P,24,U3,-0.043649,0.043649
H2.ZE66,P,25,Dc,-0.039357,0.039357
H2.ZE66,P,26,U1,-0.0384,0.0384
H2.ZE66,P,27,Igm,0.030101,0.030101
H2.ZE66,P,28,Igc,0.029071,0.029071
H2.ZE66,P,29,f,-0.022606,0.022606
H2.ZE66,P,30,Ua,0.0063,0.0063
H2.Z67,P,1,P2,0.999453,0.999453
H2.Z67,P,2,P1,0.999398,0.999398
H2.Z67,P,3,Q,0.998214,0.998214
H2.Z67,P,4,I1,0.994635,0.994635
H2.Z67,P,5,I2,0.99458,0.99458
H2.Z67,P,6,P3,0.992677,0.992677
H2.Z67,P,7,I3,0.992038,0.992038
H2.Z67,P,8,PF3,0.990886,0.990886
H2.Z67,P,9,PF2,0.983564,0.983564
H2.Z67,P,10,PF,0.910359,0.910359
H2.Z67,P,11,W_out,0.284738,0.284738
H2.Z67,P,12,WQ,-0.240716,0.240716
H2.Z67,P,13,WQ_in,-0.240716,0.240716
H2.Z67,P,14,W,-0.240427,0.240427
H2.Z67,P,15,W_in,-0.240427,0.240427
H2.Z67,P,16,PF1,0.19574,0.19574
H2.Z67,P,17,f,-0.103582,0.103582
H2.Z67,P,18,Ua,-0.049007,0.049007
H2.Z67,P,19,Igm,0.048051,0.048051
H2.Z67,P,20,Igc,0.047656,0.047656
H2.Z67,P,21,Dc,0.043422,0.043422
H2.Z67,P,22,rho,-0.039562,0.039562
H2.Z67,P,23,Ta,0.038328,0.038328
H2.Z67,P,24,H,0.027679,0.027679
H2.Z67,P,25,U2,-0.027587,0.027587
H2.Z67,P,26,U1,-0.026263,0.026263
H2.Z67,P,27,Sc,0.025311,0.025311
H2.Z67,P,28,U3,-0.020335,0.020335
H2.Z67,P,29,Dp,0.012322,0.012322
H2.Z67,P,30,Ah,0.009083,0.009083
H2.ZE67,P,1,P2,0.999978,0.999978
H2.ZE67,P,2,P1,0.999957,0.999957
H2.ZE67,P,3,I1,0.996313,0.996313
H2.ZE67,P,4,I2,0.996292,0.996292
H2.ZE67,P,5,PF2,0.983407,0.983407
H2.ZE67,P,6,PF3,-0.837267,0.837267
H2.ZE67,P,7,PF1,-0.759221,0.759221
H2.ZE67,P,8,I3,0.619316,0.619316
H2.ZE67,P,9,P3,0.444121,0.444121
H2.ZE67,P,10,PF,0.382281,0.382281
H2.ZE67,P,11,W_out,-0.3717,0.3717
H2.ZE67,P,12,W2,-0.234194,0.234194
H2.ZE67,P,13,W_in,-0.233847,0.233847
H2.ZE67,P,14,W3,-0.233843,0.233843
H2.ZE67,P,15,W,-0.233792,0.233792
H2.ZE67,P,16,W1,-0.233273,0.233273
H2.ZE67,P,17,Ah,-0.131869,0.131869
H2.ZE67,P,18,Dp,-0.110605,0.110605
H2.ZE67,P,19,Sc,0.101282,0.101282
H2.ZE67,P,20,Dc,0.089744,0.089744
H2.ZE67,P,21,H,-0.084353,0.084353
H2.ZE67,P,22,Ua,-0.077965,0.077965
H2.ZE67,P,23,U2,0.06234,0.06234
H2.ZE67,P,24,rho,0.046756,0.046756
H2.ZE67,P,25,U3,0.046216,0.046216
H2.ZE67,P,26,U1,0.043396,0.043396
H2.ZE67,P,27,Igm,0.037962,0.037962
H2.ZE67,P,28,Igc,0.037652,0.037652
H2.ZE67,P,29,Ta,-0.034199,0.034199
H2.ZE67,P,30,f,0.006459,0.006459
V.Z81,P,1,P2,0.999197,0.999197
V.Z81,P,2,P3,0.998345,0.998345
V.Z81,P,3,P1,0.998282,0.998282
V.Z81,P,4,PF2,0.977809,0.977809
V.Z81,P,5,PF,0.977171,0.977171
V.Z81,P,6,PF3,0.976563,0.976563
V.Z81,P,7,PF1,0.972868,0.972868
V.Z81,P,8,H,0.581999,0.581999
V.Z81,P,9,Ta,0.571955,0.571955
V.Z81,P,10,rho,-0.546108,0.546108
V.Z81,P,11,Ah,0.503775,0.503775
V.Z81,P,12,Dp,0.502852,0.502852
V.Z81,P,13,Ua,-0.264817,0.264817
V.Z81,P,14,U3,-0.229627,0.229627
V.Z81,P,15,Igm,0.208456,0.208456
V.Z81,P,16,I2,-0.208357,0.208357
V.Z81,P,17,Igc,0.206323,0.206323
V.Z81,P,18,U1,-0.198349,0.198349
V.Z81,P,19,U2,-0.183769,0.183769
V.Z81,P,20,W_out,-0.131684,0.131684
V.Z81,P,21,W3,-0.110373,0.110373
V.Z81,P,22,W1,-0.102743,0.102743
V.Z81,P,23,W,-0.102554,0.102554
V.Z81,P,24,I3,-0.093293,0.093293
V.Z81,P,25,W2,-0.086939,0.086939
V.Z81,P,26,Sc,-0.085828,0.085828
V.Z81,P,27,W_in,-0.059775,0.059775
V.Z81,P,28,f,-0.019627,0.019627
V.Z81,P,29,I1,0.009953,0.009953
V.Z81,P,30,Dc,0.003324,0.003324
V.Z82,P,1,P2,0.999226,0.999226
V.Z82,P,2,P3,0.998349,0.998349
V.Z82,P,3,P1,0.998286,0.998286
V.Z82,P,4,PF3,0.913861,0.913861
V.Z82,P,5,PF,0.91317,0.91317
V.Z82,P,6,PF2,0.906206,0.906206
V.Z82,P,7,PF1,0.905018,0.905018
V.Z82,P,8,I1,0.650955,0.650955
V.Z82,P,9,H,0.557043,0.557043
V.Z82,P,10,Ta,0.550357,0.550357
V.Z82,P,11,rho,-0.532087,0.532087
V.Z82,P,12,I3,0.504598,0.504598
V.Z82,P,13,Ah,0.477904,0.477904
V.Z82,P,14,Dp,0.476016,0.476016
V.Z82,P,15,I2,0.438452,0.438452
V.Z82,P,16,Ua,-0.2657,0.2657
V.Z82,P,17,U3,-0.262653,0.262653
V.Z82,P,18,U1,-0.226972,0.226972
V.Z82,P,19,U2,-0.214566,0.214566
V.Z82,P,20,Igm,0.199985,0.199985
V.Z82,P,21,Igc,0.19779,0.19779
V.Z82,P,22,W_in,-0.195539,0.195539
V.Z82,P,23,W3,-0.188231,0.188231
