date,meter_urn,measurement,anomaly_hours,anomaly_count,max_z_score,target_mean,baseline_mean
2023-03-03,H1.Z20,WQ,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.308,-251291.605,-250594.762
2023-03-03,H1.Z22,WQ_out,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.295,176.509,176.328
2023-03-03,H1.W12,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.246,4984241.875,4971724.881
2023-03-03,H1.ZE20,W1,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.237,-162585.343,-159781.635
2023-03-03,H1.Z20,WQ_out,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.236,266384.674,265678.918
2023-03-03,H1.ZE20,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.233,-458802.228,-450862.79
2023-03-03,H1.ZE20,W2,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.233,-150902.012,-148278.214
2023-03-03,H1.Z20,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.232,-3081466.782,-3073534.341
2023-03-03,H1.Z29,W_out,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.23,2927882.417,2919960.23
2023-03-03,H1.ZE20,W3,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.227,-145314.874,-142802.939
